IdLinea;NombreLinea;ColorLinea;ImagenMicrobus;FechaCreacion
1;L001      ;#AE0104;https://i.ibb.co/qfPtw7x/linea1.png;00:00,0
2;L002      ;#790218;https://i.ibb.co/bj7Xq56c/linea2.png;00:00,0
3;L005      ;#013D7A;https://i.ibb.co/p6rWXBcm/linea5.png;00:00,0
4;L008      ;#0F203E;https://i.ibb.co/v4jKyZNr/linea8.png;00:00,0
5;L009      ;#048566;https://i.ibb.co/JW3v460V/linea9.png;00:00,0
6;L010      ;#01185B;https://i.ibb.co/Y4zjNTV7/linea10.png;00:00,0
7;L011      ;#002F5B;https://i.ibb.co/FLjznVpM/linea11.png;00:00,0
8;L016      ;#2175B0;https://i.ibb.co/zHtyVtfC/linea16.png;00:00,0
9;L017      ;#E67658;https://i.ibb.co/GQDBPWfZ/linea17.png;00:00,0
10;L018      ;#553924;https://i.ibb.co/TDT64zbZ/linea18.png;00:00,0
