IdTrasbordo;IdPunto;IdLineaOrigen;IdLineaDestino;PenalizacionMin
0;2;2;1;5
1;2;3;1;5
2;2;4;1;5
3;2;1;2;5
4;2;3;2;5
5;2;4;2;5
6;2;1;3;5
7;2;2;3;5
8;2;4;3;5
9;2;1;4;5
10;2;2;4;5
11;2;3;4;5
12;3;2;1;5
13;3;3;1;5
14;3;4;1;5
15;3;1;2;5
16;3;3;2;5
17;3;4;2;5
18;3;1;3;5
19;3;2;3;5
20;3;4;3;5
21;3;1;4;5
22;3;2;4;5
23;3;3;4;5
24;15;9;1;5
25;15;1;9;5
26;18;9;1;5
27;18;1;9;5
28;22;13;1;5
29;22;16;1;5
30;22;1;13;5
31;22;16;13;5
32;22;1;16;5
33;22;13;16;5
34;26;13;1;5
35;26;16;1;5
36;26;1;13;5
37;26;16;13;5
38;26;1;16;5
39;26;13;16;5
40;30;3;1;5
41;30;1;3;5
42;38;3;1;5
43;38;5;1;5
44;38;11;1;5
45;38;1;3;5
46;38;5;3;5
47;38;11;3;5
48;38;1;5;5
49;38;3;5;5
50;38;11;5;5
51;38;1;11;5
52;38;3;11;5
53;38;5;11;5
54;41;3;1;5
55;41;5;1;5
56;41;11;1;5
57;41;1;3;5
58;41;5;3;5
59;41;11;3;5
60;41;1;5;5
61;41;3;5;5
62;41;11;5;5
63;41;1;11;5
64;41;3;11;5
65;41;5;11;5
66;54;7;1;5
67;54;11;1;5
68;54;17;1;5
69;54;19;1;5
70;54;1;7;5
71;54;11;7;5
72;54;17;7;5
73;54;19;7;5
74;54;1;11;5
75;54;7;11;5
76;54;17;11;5
77;54;19;11;5
78;54;1;17;5
79;54;7;17;5
80;54;11;17;5
81;54;19;17;5
82;54;1;19;5
83;54;7;19;5
84;54;11;19;5
85;54;17;19;5
86;56;7;1;5
87;56;11;1;5
88;56;17;1;5
89;56;19;1;5
90;56;1;7;5
91;56;11;7;5
92;56;17;7;5
93;56;19;7;5
94;56;1;11;5
95;56;7;11;5
96;56;17;11;5
97;56;19;11;5
98;56;1;17;5
99;56;7;17;5
100;56;11;17;5
101;56;19;17;5
102;56;1;19;5
103;56;7;19;5
104;56;11;19;5
105;56;17;19;5
106;74;8;2;5
107;74;12;2;5
108;74;18;2;5
109;74;20;2;5
110;74;2;8;5
111;74;12;8;5
112;74;18;8;5
113;74;20;8;5
114;74;2;12;5
115;74;8;12;5
116;74;18;12;5
117;74;20;12;5
118;74;2;18;5
119;74;8;18;5
120;74;12;18;5
121;74;20;18;5
122;74;2;20;5
123;74;8;20;5
124;74;12;20;5
125;74;18;20;5
126;77;8;2;5
127;77;12;2;5
128;77;18;2;5
129;77;20;2;5
130;77;2;8;5
131;77;12;8;5
132;77;18;8;5
133;77;20;8;5
134;77;2;12;5
135;77;8;12;5
136;77;18;12;5
137;77;20;12;5
138;77;2;18;5
139;77;8;18;5
140;77;12;18;5
141;77;20;18;5
142;77;2;20;5
143;77;8;20;5
144;77;12;20;5
145;77;18;20;5
146;83;4;2;5
147;83;2;4;5
148;86;4;2;5
149;86;2;4;5
150;89;4;2;5
151;89;2;4;5
152;92;4;2;5
153;92;2;4;5
154;99;4;2;5
155;99;2;4;5
156;104;4;2;5
157;104;10;2;5
158;104;2;4;5
159;104;10;4;5
160;104;2;10;5
161;104;4;10;5
162;110;4;2;5
163;110;10;2;5
164;110;18;2;5
165;110;20;2;5
166;110;2;4;5
167;110;10;4;5
168;110;18;4;5
169;110;20;4;5
170;110;2;10;5
171;110;4;10;5
172;110;18;10;5
173;110;20;10;5
174;110;2;18;5
175;110;4;18;5
176;110;10;18;5
177;110;20;18;5
178;110;2;20;5
179;110;4;20;5
180;110;10;20;5
181;110;18;20;5
182;132;4;3;5
183;132;5;3;5
184;132;3;4;5
185;132;5;4;5
186;132;3;5;5
187;132;4;5;5
188;134;4;3;5
189;134;5;3;5
190;134;3;4;5
191;134;5;4;5
192;134;3;5;5
193;134;4;5;5
194;144;16;5;5
195;144;17;5;5
196;144;19;5;5
197;144;5;16;5
198;144;17;16;5
199;144;19;16;5
200;144;5;17;5
201;144;16;17;5
202;144;19;17;5
203;144;5;19;5
204;144;16;19;5
205;144;17;19;5
