IdPunto;Latitud;Longitud;Descripcion;Stop
1;-17.782792;-63.170335;N-1;N
2;-17.782814;-63.170546;S-2;S
3;-17.782882;-63.171189;S-3;S
4;-17.782936;-63.171782;N-4;N
5;-17.782795;-63.172136;N-5;N
6;-17.782451;-63.172197;N-6;N
7;-17.782271;-63.172228;N-7;N
8;-17.781988;-63.172276;N-8;N
9;-17.780853;-63.172419;N-9;N
10;-17.780434;-63.172478;N-10;N
11;-17.780187;-63.172513;N-11;N
12;-17.779521;-63.172609;N-12;N
13;-17.779421;-63.172831;N-13;N
14;-17.779694;-63.173995;N-14;N
15;-17.779851;-63.174992;S-15;S
16;-17.780134;-63.176729;N-16;N
17;-17.780287;-63.177664;N-17;N
18;-17.780407;-63.178444;S-18;S
19;-17.780457;-63.17877;N-19;N
20;-17.78048;-63.178764;N-20;N
21;-17.781499;-63.178509;N-21;N
22;-17.782498;-63.178337;S-22;S
23;-17.783533;-63.178252;N-23;N
24;-17.784542;-63.178153;N-24;N
25;-17.78538;-63.178014;N-25;N
26;-17.786044;-63.177859;S-26;S
27;-17.786312;-63.177796;N-27;N
28;-17.786529;-63.17884;N-28;N
29;-17.786742;-63.180125;N-29;N
30;-17.786793;-63.180448;S-30;S
31;-17.786915;-63.181232;N-31;N
32;-17.787091;-63.182301;N-32;N
33;-17.787177;-63.182863;N-33;N
34;-17.787249;-63.183332;N-34;N
35;-17.787345;-63.184044;N-35;N
36;-17.78739;-63.184373;N-36;N
37;-17.787582;-63.185345;N-37;N
38;-17.787635;-63.185646;S-38;S
39;-17.787741;-63.186242;N-39;N
40;-17.787795;-63.18644;N-40;N
41;-17.787892;-63.186668;S-41;S
42;-17.78812;-63.187282;N-42;N
43;-17.788624;-63.187739;N-43;N
44;-17.788777;-63.18791;N-44;N
45;-17.788932;-63.187865;N-45;N
46;-17.789441;-63.187715;N-46;N
47;-17.789456;-63.187702;N-47;N
48;-17.789529;-63.187634;N-48;N
49;-17.789776;-63.187556;N-49;N
50;-17.790198;-63.187494;N-50;N
51;-17.790604;-63.187434;N-51;N
52;-17.791654;-63.187289;N-52;N
53;-17.791769;-63.187274;N-53;N
54;-17.791948;-63.18725;S-54;S
55;-17.792258;-63.187208;N-55;N
56;-17.792878;-63.187121;S-56;S
57;-17.792977;-63.187107;N-57;N
58;-17.793126;-63.187101;N-58;N
59;-17.793205;-63.187171;N-59;N
60;-17.793354;-63.187424;N-60;N
61;-17.793439;-63.187522;S-61;S
62;-17.794736;-63.188725;N-62;N
63;-17.794667;-63.188648;S-63;S
64;-17.793736;-63.187611;N-64;N
65;-17.793554;-63.187409;N-65;N
66;-17.793495;-63.187344;N-66;N
67;-17.793408;-63.187153;N-67;N
68;-17.793487;-63.18704;N-68;N
69;-17.793375;-63.186783;N-69;N
70;-17.793185;-63.186796;N-70;N
71;-17.793071;-63.186873;N-71;N
72;-17.792549;-63.18695;N-72;N
73;-17.792233;-63.186996;N-73;N
74;-17.791984;-63.187023;S-74;S
75;-17.791643;-63.187061;N-75;N
76;-17.790455;-63.187233;N-76;N
77;-17.79017;-63.18728;S-77;S
78;-17.789761;-63.187347;N-78;N
79;-17.789356;-63.187411;N-79;N
80;-17.789103;-63.186398;N-80;N
81;-17.789042;-63.186139;N-81;N
82;-17.788808;-63.18514;N-82;N
83;-17.788714;-63.184762;S-83;S
84;-17.788572;-63.184187;N-84;N
85;-17.788338;-63.18317;N-85;N
86;-17.788285;-63.182909;S-86;S
87;-17.788132;-63.182164;N-87;N
88;-17.78787;-63.181086;N-88;N
89;-17.787737;-63.180591;S-89;S
90;-17.787589;-63.180041;N-90;N
91;-17.78724;-63.178686;N-91;N
92;-17.787052;-63.177929;S-92;S
93;-17.786982;-63.177644;N-93;N
94;-17.786765;-63.176743;N-94;N
95;-17.786113;-63.176857;N-95;N
96;-17.786001;-63.176877;N-96;N
97;-17.785223;-63.177004;N-97;N
98;-17.78446;-63.177101;N-98;N
99;-17.783438;-63.177215;S-99;S
100;-17.782398;-63.177343;N-100;N
101;-17.782397;-63.177343;N-101;N
102;-17.781411;-63.177452;N-102;N
103;-17.781287;-63.176498;N-103;N
104;-17.781147;-63.17523;S-104;S
105;-17.781106;-63.174861;N-105;N
106;-17.780992;-63.173818;N-106;N
107;-17.781047;-63.173752;N-107;N
108;-17.780978;-63.172604;N-108;N
109;-17.781819;-63.172484;N-109;N
110;-17.7823;-63.172415;S-110;S
111;-17.782832;-63.172338;N-111;N
112;-17.783016;-63.172404;N-112;N
113;-17.783154;-63.172292;N-113;N
114;-17.783116;-63.172114;N-114;N
115;-17.783103;-63.172051;N-115;N
116;-17.782827;-63.17231;N-116;N
117;-17.783734;-63.172199;N-117;N
118;-17.78407;-63.172145;N-118;N
119;-17.784143;-63.173011;S-119;S
120;-17.784168;-63.173301;N-120;N
121;-17.784278;-63.174697;N-121;N
122;-17.784353;-63.175669;N-122;N
123;-17.784373;-63.175935;N-123;N
124;-17.784413;-63.175925;N-124;N
125;-17.785059;-63.175759;N-125;N
126;-17.785553;-63.175651;S-126;S
127;-17.785803;-63.175597;N-127;N
128;-17.785805;-63.175609;N-128;N
129;-17.786221;-63.177527;S-129;S
130;-17.788995;-63.188091;N-130;N
131;-17.789727;-63.188699;N-131;N
132;-17.789865;-63.188788;S-132;S
133;-17.790082;-63.188927;N-133;N
134;-17.790661;-63.189343;S-134;S
135;-17.790811;-63.189451;N-135;N
136;-17.789585;-63.188325;N-136;N
137;-17.780875;-63.172619;N-137;N
138;-17.773899;-63.174731;N-138;N
139;-17.774061;-63.174997;N-139;N
140;-17.774749;-63.176123;N-140;N
141;-17.774801;-63.176232;N-141;N
142;-17.774833;-63.1763;N-142;N
143;-17.774651;-63.177061;N-143;N
144;-17.774607;-63.177339;S-144;S
145;-17.77453;-63.17783;N-145;N
146;-17.77447;-63.178838;N-146;N
147;-17.774487;-63.179944;N-147;N
148;-17.774498;-63.180136;N-148;N
149;-17.774498;-63.180146;N-149;N
150;-17.774527;-63.180879;N-150;N
151;-17.774619;-63.181389;S-151;S
152;-17.77475;-63.182112;N-152;N
153;-17.774798;-63.182294;N-153;N
154;-17.774896;-63.182619;S-154;S
155;-17.77513;-63.183391;N-155;N
156;-17.775314;-63.183376;N-156;N
157;-17.775562;-63.183351;N-157;N
158;-17.776442;-63.183263;N-158;N
159;-17.777195;-63.183196;S-159;S
160;-17.778801;-63.183052;N-160;N
161;-17.778847;-63.183314;N-161;N
162;-17.778998;-63.184169;N-162;N
